Title,Link,SQL,Python,Power BI,Excel,Tableau,Angielski,Cloud,R
Junior Data Researcher,"https://www.pracuj.pl/praca/junior-data-researcher-warszawa-ogrodowa-58,oferta,1004526537?sug=list_bd_2&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,1,0,1,0,1,0,0
Data Engineer,"https://www.pracuj.pl/praca/data-engineer-warszawa,oferta,1004528605?sug=list_bd_3&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,1
Junior Power BI Analyst,"https://www.pracuj.pl/praca/junior-power-bi-analyst-warszawa-rondo-daszynskiego-1,oferta,1004556014?sug=list_bd_4&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Junior Business Analyst,"https://www.pracuj.pl/praca/junior-business-analyst-krakow-stanislawa-klimeckiego-1,oferta,1004502058?sug=list_bd_5_boosterAI_L2&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,0,0,0
Specjalistka/Specjalista w Zespole Analiz Produktowych i Rynkowych,"https://www.pracuj.pl/praca/specjalistka-specjalista-w-zespole-analiz-produktowych-i-rynkowych-lodz-wolczanska-128-134,oferta,1004530275?sug=list_bd_6&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,1,0,1,0,1,0
Młodszy Specjalista ds. Controllingu (K/M),"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-controllingu-k-m-wroclaw,oferta,1004544300?sug=list_bd_7&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,0,1,0
Młodszy Specjalista / Młodsza Specjalistka ds. Uprawnień,"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-uprawnien-wroclaw,oferta,1004530976?sug=list_bd_8&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Młodszy Specjalista / Młodsza Specjalistka ds. analiz ALM,"https://www.pracuj.pl/praca/mlodszy-specjalista-mlodsza-specjalistka-ds-analiz-alm-wroclaw-legnicka-48,oferta,1004548347?sug=list_bd_9&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,0,0,1,0,0
Junior Data Analyst,"https://www.pracuj.pl/praca/junior-data-analyst-krakow,oferta,1004534417?sug=list_bd_10&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Młodszy analityk finansowy/Młodsza analityczka finansowa,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-mlodsza-analityczka-finansowa-wroclaw-plac-grunwaldzki-22,oferta,1004560729?sug=list_bd_11&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Financial Process Analyst (AR),"https://www.pracuj.pl/praca/financial-process-analyst-ar-katowice,oferta,1004542027?sug=list_bd_12&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Specjalista / Specjalistka ds. weryfikacji i wprowadzania danych,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-weryfikacji-i-wprowadzania-danych-wroclaw-plac-grunwaldzki-23,oferta,1004551977?sug=list_bd_13&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,0,0,0
Młodszy Analityk Ryzyka (k/m),"https://www.pracuj.pl/praca/mlodszy-analityk-ryzyka-k-m-wroclaw-raclawicka-2,oferta,1004549119?sug=list_bd_14&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Junior AI Engineer,"https://www.pracuj.pl/praca/junior-ai-engineer-krakow-swietego-jana-20,oferta,1004503997?sug=list_bd_15&s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,0,0
Starszy Specjalista / Starsza Specjalistka ds. analiz produkcji energii elektrycznej z OZE i magazynów energii,"https://www.pracuj.pl/praca/starszy-specjalista-starsza-specjalistka-ds-analiz-produkcji-energii-elektryczne-warszawa-prosta-67,oferta,1004543781?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,1,0
IT Systems Analyst - Logistics,"https://www.pracuj.pl/praca/it-systems-analyst-logistics-katowice,oferta,1004543796?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Senior Data Scientist w Biurze Rozwoju Modeli Taryfowych (K/M),"https://www.pracuj.pl/praca/senior-data-scientist-w-biurze-rozwoju-modeli-taryfowych-k-m-warszawa,oferta,1004542138?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,1,1,1
Data Scientist w Biurze Rozwoju Modeli Taryfowych (K/M),"https://www.pracuj.pl/praca/data-scientist-w-biurze-rozwoju-modeli-taryfowych-k-m-warszawa,oferta,1004542134?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,0,0,1
Business - System Analyst,"https://www.pracuj.pl/praca/business-system-analyst-warszawa,oferta,1004557163?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,1,0
Analityk IT | Branża bankowa,"https://www.pracuj.pl/praca/analityk-it-branza-bankowa-warszawa,oferta,1004537465?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,0,1,0,1,0,0
Senior Logistics Analyst,"https://www.pracuj.pl/praca/senior-logistics-analyst-wroclaw,oferta,1004540513?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,1,0
Junior Logistics Analyst,"https://www.pracuj.pl/praca/junior-logistics-analyst-wroclaw,oferta,1004540465?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Koordynatorka / Koordynator BI,"https://www.pracuj.pl/praca/koordynatorka-koordynator-bi-warszawa,oferta,1004542501?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,1,0
Junior Analityk / Junior Analityczka Dokumentacji i Modeli Architektury IT,"https://www.pracuj.pl/praca/junior-analityk-junior-analityczka-dokumentacji-i-modeli-architektury-it-wroclaw-powstancow-slaskich-9,oferta,1004542435?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Starszy Specjalista ds. Planowania i Analiz (K/M/N),"https://www.pracuj.pl/praca/starszy-specjalista-ds-planowania-i-analiz-k-m-n-warszawa-krakowiakow-49,oferta,1004540174?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
Finance Analyst - Private Capital (Middle Office),"https://www.pracuj.pl/praca/finance-analyst-private-capital-middle-office-warszawa,oferta,1004539787?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Power BI Developer,"https://www.pracuj.pl/praca/power-bi-developer-chelmno-szosa-grudziadzka-19,oferta,1004541971?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,1,0
Manager/ka Zespołu Narzędzi i Analiz,"https://www.pracuj.pl/praca/manager-ka-zespolu-narzedzi-i-analiz-wroclaw-legnicka-48,oferta,1004539718?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,1,0,0,0,0,0,0
